"filename", "language", "HTML", "CSS", "JavaScript", "Python", "JSON", "XML", "comment", "blank", "total"
"e:\Materials\【FDD】\assignment\WebSite\news\PepsiCo launch new NFTs.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 3, 35
"e:\Materials\【FDD】\assignment\WebSite\news\The Best NFT Memes of 2022_ February.html", "HTML", 65, 0, 0, 0, 0, 0, 0, 3, 68
"e:\Materials\【FDD】\assignment\WebSite\news\The NFT Events You Won’t Want to Miss at Bitcoin 2022.html", "HTML", 72, 0, 0, 0, 0, 0, 0, 3, 75
"e:\Materials\【FDD】\assignment\WebSite\news\To make the NFTs have any value, they need Ethereum to give the collectible value.html", "HTML", 50, 0, 0, 0, 0, 0, 0, 3, 53
"e:\Materials\【FDD】\assignment\WebSite\policy.html", "HTML", 203, 0, 0, 0, 0, 0, 0, 45, 248
"e:\Materials\【FDD】\assignment\WebSite\script\anime.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 6, 1, 8
"e:\Materials\【FDD】\assignment\WebSite\script\articles.js", "JavaScript", 0, 0, 174, 0, 0, 0, 3, 9, 186
"e:\Materials\【FDD】\assignment\WebSite\script\idb-keyval-min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\Materials\【FDD】\assignment\WebSite\script\index.json", "JSON", 0, 0, 0, 0, 9116, 0, 0, 0, 9116
"e:\Materials\【FDD】\assignment\WebSite\script\template.js", "JavaScript", 0, 0, 592, 0, 0, 0, 13, 95, 700
"e:\Materials\【FDD】\assignment\WebSite\script\waterfall.js", "JavaScript", 0, 0, 758, 0, 0, 0, 37, 98, 893
"e:\Materials\【FDD】\assignment\WebSite\script\writer.js", "JavaScript", 0, 0, 351, 0, 0, 0, 39, 48, 438
"e:\Materials\【FDD】\assignment\WebSite\style\frame.css", "CSS", 0, 472, 0, 0, 0, 0, 14, 128, 614
"e:\Materials\【FDD】\assignment\WebSite\style\iconfont.css", "CSS", 0, 78, 0, 0, 0, 0, 1, 22, 101
"e:\Materials\【FDD】\assignment\WebSite\style\style.css", "CSS", 0, 887, 0, 0, 0, 0, 32, 222, 1141
"e:\Materials\【FDD】\assignment\WebSite\style\template.css", "CSS", 0, 472, 0, 0, 0, 0, 17, 116, 605
"e:\Materials\【FDD】\assignment\WebSite\test\FileSystemAccessApi\1.read.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 3, 28
"e:\Materials\【FDD】\assignment\WebSite\test\FileSystemAccessApi\2.saveAs.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 5, 39
"e:\Materials\【FDD】\assignment\WebSite\test\FileSystemAccessApi\3.showAllFile.html", "HTML", 23, 0, 0, 0, 0, 0, 0, 6, 29
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\anime.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 6, 1, 8
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\async.html", "HTML", 74, 0, 0, 0, 0, 0, 0, 9, 83
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\index.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 9, 57
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\promises.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 5, 52
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\span.html", "HTML", 69, 0, 0, 0, 0, 0, 0, 9, 78
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\typer.html", "HTML", 38, 0, 0, 0, 0, 0, 4, 6, 48
"e:\Materials\【FDD】\assignment\WebSite\test\animejs\typer.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 8, 68
"e:\Materials\【FDD】\assignment\WebSite\test\articleTest.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 7, 42
"e:\Materials\【FDD】\assignment\WebSite\test\artile.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 7, 24
"e:\Materials\【FDD】\assignment\WebSite\test\fileSystemObject.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 4, 28
